# Electric potential (V)/(m) (d/dx)  
          20           3           0 -4.862601070596111E-002
          21           3           0 -0.845471193778382     
          22           3           0  -1.72942208152954     
          23           3           0  0.449113735771142     
          24           3           0  0.504156133667404     
          25           3           0  0.337212734517219     
          26           3           0  0.131776163347903     
          27           3           0 -0.150116216260535     
          28           3           0 -0.264454535548510     
          29           3           0 -0.294662116145876     
          30           3           0 -0.339009894510488     
          31           3           0 -0.408413252355065     
          32           3           0 -0.417608870212537     
          33           3           0 -0.387282928305730     
          34           3           0 -0.341308948980332     
          35           3           0 -0.240805364332304     
          36           3           0 -0.200024846489350     
          37           3           0 -0.189920979894104     
          38           3           0 -0.143979736715896     
          39           3           0 -0.101691164547558     
          40           3           0 -0.102190201542600     
          41           3           0 -0.171360095185448     
          42           3           0 -0.238825469852564     
          43           3           0 -0.291199004630942     
          44           3           0 -0.352803356159327     
          45           3           0 -0.369044337800644     
          46           3           0 -0.326086509570367     
          47           3           0 -0.259794627397012     
          48           3           0 -0.210994948932055     
          49           3           0 -0.147324276533701     
          50           3           0 -5.793383420017077E-002
          51           3           0  4.435838232649383E-002
          52           3           0  8.885970721154587E-002
          53           3           0  9.236665544392522E-002
          54           3           0  0.106896281413627     
          55           3           0  0.104722610285878     
          56           3           0  3.968367222606645E-002
          57           3           0 -7.243146884265982E-002
          58           3           0 -0.112612052894452     
          59           3           0 -0.106177446953516     
          60           3           0 -2.457215925545436E-002
          61           3           0  0.190395438389002     
          62           3           0  0.422465081914417     
          63           3           0  0.559153953938130     
          64           3           0  0.622486651436682     
          65           3           0  0.681068727237439     
          66           3           0  0.705234957560960     
          67           3           0  0.661639322284487     
          68           3           0  0.581891290230814     
          69           3           0  0.407712044023022     
          70           3           0  0.314151533101944     
          71           3           0  0.550715745410385     
          72           3           0   3.47023257122806     
          73           3           0   4.84923424820553     
          74           3           0   6.23930421883959     
          75           3           0   7.59955573723415     
          76           3           0   8.30221366318489     
          77           3           0   7.98938828747297     
          78           3           0   6.26060270548872     
          79           3           0   4.04547921856306     
          80           3           0   1.95356995763639     
          81           3           0  4.760893268194884E-002
          82           3           0  -1.88962424329094     
          83           3           0  -4.02456671646668     
          84           3           0  -6.85823330564784     
          85           3           0  -9.71458605418206     
          86           3           0  -12.2920022261243     
          87           3           0  -15.6708266268679     
          88           3           0  -19.6949794179764     
          89           3           0  -24.1729742657348     
          90           3           0  -30.8852959024966     
          91           3           0  -40.2054181299441     
          92           3           0  -50.0304302575773     
          93           3           0  -61.3430970951112     
          94           3           0  -84.6195359228562     
          95           3           0  -82.3687553493234     
          96           3           0  -44.3811700658788     
          -1           4           0   46.5980176015216     
           0           4           0   82.4376752759475     
           1           4           0   92.2634899661595     
           2           4           0   77.3465632106794     
           3           4           0   64.6770135789056     
           4           4           0   55.1726095187994     
           5           4           0   48.0868381777504     
           6           4           0   41.2283385593048     
           7           4           0   33.8072072333599     
           8           4           0   26.6587930370686     
           9           4           0   21.5566778459569     
          10           4           0   17.4904197682080     
          11           4           0   13.4789126640210     
          12           4           0   10.3988099831507     
          13           4           0   7.91184006116506     
          14           4           0   5.18249500778944     
          15           4           0   2.83501496680150     
          16           4           0   1.03970970494338     
          17           4           0 -0.619899659204565     
          18           4           0  -1.34143670957045     
          19           4           0 -0.326835161185072     
          20           4           0  -1.31184360521824     
          21           4           0  -1.74136780559336     
          22           4           0 -0.969880714496862     
          23           4           0 -0.165914674055711     
          24           4           0  0.731212613123503     
          25           4           0  0.685723526297383     
          26           4           0  0.490655431265381     
          27           4           0  0.106412239180070     
          28           4           0 -0.170890810730422     
          29           4           0 -0.349069072229115     
          30           4           0 -0.508589733313085     
          31           4           0 -0.583837783923735     
          32           4           0 -0.600376154964983     
          33           4           0 -0.609948486661541     
          34           4           0 -0.565564565624257     
          35           4           0 -0.479638161178263     
          36           4           0 -0.469358828891530     
          37           4           0 -0.440440131897897     
          38           4           0 -0.369247611914121     
          39           4           0 -0.351672944471957     
          40           4           0 -0.391302168584142     
          41           4           0 -0.493646098663809     
          42           4           0 -0.553832290758353     
          43           4           0 -0.616605431045787     
          44           4           0 -0.641673869417663     
          45           4           0 -0.573816277722958     
          46           4           0 -0.534152872859632     
          47           4           0 -0.458754695291280     
          48           4           0 -0.347178869372443     
          49           4           0 -0.250872830203679     
          50           4           0 -0.131979882435719     
          51           4           0  3.511437390218004E-002
          52           4           0  0.125194010240745     
          53           4           0  0.116928768784338     
          54           4           0  0.135001677964476     
          55           4           0  0.149289128819757     
          56           4           0  9.662975976016086E-002
          57           4           0 -7.418421341178197E-003
          58           4           0 -4.390984600571633E-002
          59           4           0 -7.098923112084820E-003
          60           4           0  0.121901643875587     
          61           4           0  0.377166797985932     
          62           4           0  0.656515501197941     
          63           4           0  0.841597312712828     
          64           4           0  0.962878984832271     
          65           4           0   1.05292156055298     
          66           4           0   1.09233504333576     
          67           4           0   1.03979073482729     
          68           4           0  0.887205991000658     
          69           4           0  0.715718656992610     
          70           4           0  0.572937662700253     
          71           4           0  0.613195855314712     
          72           4           0   2.89488027664486     
          73           4           0   5.37837225560208     
          74           4           0   7.35610014684236     
          75           4           0   8.71028011561519     
          76           4           0   8.91800297789413     
          77           4           0   7.64945459978180     
          78           4           0   5.55239394626526     
          79           4           0   3.37053128370104     
          80           4           0   1.30177081069513     
          81           4           0 -0.640340804325886     
          82           4           0  -2.52635614879978     
          83           4           0  -4.70601557087930     
          84           4           0  -7.48107129428075     
          85           4           0  -10.2491121617448     
          86           4           0  -12.8798316306575     
          87           4           0  -16.3390496118294     
          88           4           0  -20.5210801384151     
          89           4           0  -25.2720019861326     
          90           4           0  -32.1326635092004     
          91           4           0  -41.4362836027556     
          92           4           0  -51.1626475033462     
          93           4           0  -62.6336526630653     
          94           4           0  -87.2192190774571     
          95           4           0  -84.4481985161900     
          96           4           0  -43.2848553995244     
          -1           5           0   48.1372573862726     
           0           5           0   87.8216268740704     
           1           5           0   97.9960375501178     
           2           5           0   81.0728694861271     
           3           5           0   67.8328147904436     
           4           5           0   58.0489647526352     
           5           5           0   50.9447432797631     
           6           5           0   42.8548819623688     
           7           5           0   33.8733957906013     
           8           5           0   26.9156094885995     
           9           5           0   22.4814360244315     
          10           5           0   18.4915080880051     
          11           5           0   13.8040093206776     
          12           5           0   10.7855239907699     
          13           5           0   8.81612107787465     
          14           5           0   5.16786379605486     
          15           5           0   1.23947709692878     
          16           5           0 -0.732474181431594     
          17           5           0  -1.60794237038155     
          18           5           0  -2.42886077705594     
          19           5           0  -2.79831939951504     
          20           5           0  -3.79190818122641     
          21           5           0  -4.58719084912071     
          22           5           0  -2.74190117210841     
          23           5           0  0.932732785321092     
          24           5           0   1.03668152309392     
          25           5           0   1.06472684672779     
          26           5           0  0.782524871970202     
          27           5           0  0.278236971702835     
          28           5           0 -0.208997803395854     
          29           5           0 -0.561713063098128     
          30           5           0 -0.791957236709506     
          31           5           0 -0.876543841095821     
          32           5           0 -0.868652033619656     
          33           5           0 -0.882991231372777     
          34           5           0 -0.816864967610256     
          35           5           0 -0.730011969689781     
          36           5           0 -0.715218792727639     
          37           5           0 -0.684439836404865     
          38           5           0 -0.611443309046331     
          39           5           0 -0.570558174680180     
          40           5           0 -0.632776840660130     
          41           5           0 -0.774095313519184     
          42           5           0 -0.841916578876734     
          43           5           0 -0.869429792664527     
          44           5           0 -0.855979000654580     
          45           5           0 -0.764231913475066     
          46           5           0 -0.675515846546141     
          47           5           0 -0.555509201387078     
          48           5           0 -0.434484974956191     
          49           5           0 -0.317509847311579     
          50           5           0 -0.165557070852005     
          51           5           0  1.985394050668762E-002
          52           5           0  0.147356019571129     
          53           5           0  0.144360863484036     
          54           5           0  0.135326834377335     
          55           5           0  0.157810202137861     
          56           5           0  0.161081718404734     
          57           5           0  8.256904193438132E-002
          58           5           0  3.955958652356736E-002
          59           5           0  0.112176856030699     
          60           5           0  0.266653024129019     
          61           5           0  0.533254344467276     
          62           5           0  0.856323289088170     
          63           5           0   1.11097048334815     
          64           5           0   1.29722483720267     
          65           5           0   1.39719971492141     
          66           5           0   1.48077495144297     
          67           5           0   1.45298527466625     
          68           5           0   1.26847828712126     
          69           5           0   1.13479234245041     
          70           5           0  0.976366385730049     
          71           5           0  0.863290691773093     
          72           5           0   3.66488246140568     
          73           5           0   6.61942271847958     
          74           5           0   9.22411454568629     
          75           5           0   9.97378145513161     
          76           5           0   9.02816962598535     
          77           5           0   7.20810153752656     
          78           5           0   5.00911824947769     
          79           5           0   2.59687965089073     
          80           5           0  0.377037188471491     
          81           5           0  -1.43507677630429     
          82           5           0  -3.25116472188881     
          83           5           0  -5.33037922349791     
          84           5           0  -8.00405061349460     
          85           5           0  -10.7704046622477     
          86           5           0  -13.5713798952193     
          87           5           0  -16.9908807940501     
          88           5           0  -20.8486990556330     
          89           5           0  -25.5207067737173     
          90           5           0  -32.2586961223594     
          91           5           0  -41.7875203152188     
          92           5           0  -52.3791009649444     
          93           5           0  -64.5146942120053     
          94           5           0  -90.4356045743837     
          95           5           0  -86.8114348072575     
          96           5           0  -41.7074755857523     
          -1           6           0   48.5040144112115     
           0           6           0   93.6454928401816     
           1           6           0   105.140777712329     
           2           6           0   86.6675175547863     
           3           6           0   72.9121707595183     
           4           6           0   62.3203571568849     
           5           6           0   54.5944272405232     
           6           6           0   44.8176850113721     
           7           6           0   34.7888603088622     
           8           6           0   28.6209035769812     
           9           6           0   24.1235348931967     
          10           6           0   19.2892700889945     
          11           6           0   14.2258984925800     
          12           6           0   11.2201222268547     
          13           6           0   8.68491442732230     
          14           6           0   4.36649604632603     
          15           6           0  0.194301542828429     
          16           6           0  -2.09737537793837     
          17           6           0  -3.55948858893769     
          18           6           0  -4.60958348368681     
          19           6           0  -5.32026172491428     
          20           6           0  -6.53430548117488     
          21           6           0  -6.08592376651488     
          22           6           0  -2.92891104811226     
          23           6           0  0.517159231441243     
          24           6           0   1.61248080543490     
          25           6           0   1.51492996269944     
          26           6           0  0.980290243185416     
          27           6           0  0.225819259400855     
          28           6           0 -0.502075933848939     
          29           6           0 -0.885676455375590     
          30           6           0  -1.11389058968740     
          31           6           0  -1.23449588698690     
          32           6           0  -1.19048701078717     
          33           6           0  -1.16906587526271     
          34           6           0  -1.05804571433063     
          35           6           0 -0.929039926214506     
          36           6           0 -0.897761978277981     
          37           6           0 -0.882899012471954     
          38           6           0 -0.817939566218828     
          39           6           0 -0.793136262082441     
          40           6           0 -0.868542249795093     
          41           6           0 -0.999928358928076     
          42           6           0  -1.07036008968896     
          43           6           0  -1.05932298089552     
          44           6           0  -1.01182889761453     
          45           6           0 -0.917064212753881     
          46           6           0 -0.765832504254082     
          47           6           0 -0.588889009723802     
          48           6           0 -0.474735776224185     
          49           6           0 -0.353010814684718     
          50           6           0 -0.179749888460025     
