# Electric potential (V)/(m) (d/dx)  
          27           2           0 -0.192360918301457     
          28           2           0 -0.451746043886792     
          29           2           0 -0.507104969566320     
          30           2           0 -0.327461206351217     
          31           2           0 -0.230666892488950     
          32           2           0 -0.311386470366071     
          33           2           0 -0.251112927455044     
          34           2           0 -0.110813340406926     
          35           2           0 -5.143235010515920E-002
          36           2           0  3.531040119167593E-002
          37           2           0  0.160506336404702     
          38           2           0  0.220488053422850     
          39           2           0  0.172898410596650     
          40           2           0  0.138419358257351     
          41           2           0  0.175481767432490     
          42           2           0  0.162293726891214     
          43           2           0  0.134502011329899     
          44           2           0  4.710625348029712E-002
          45           2           0 -6.530962528449977E-002
          46           2           0 -7.617924294060678E-002
          47           2           0 -8.400594319092920E-002
          48           2           0 -8.167517677001628E-002
          49           2           0 -1.387092605508101E-002
          50           2           0  5.012410992251624E-002
          51           2           0  7.379383060791606E-002
          52           2           0  7.349605881379544E-002
          53           2           0  9.810983872850940E-002
          54           2           0  6.979513380169328E-002
          55           2           0 -1.816033224415549E-002
          56           2           0 -7.297563617886640E-002
          57           2           0 -0.122316187872628     
          58           2           0 -0.222079209572336     
          59           2           0 -0.285499834159125     
          60           2           0 -0.186313205800575     
          61           2           0 -3.687147306722230E-002
          62           2           0  0.122518438840331     
          63           2           0  0.221282071570919     
          64           2           0  0.278634044591331     
          65           2           0  0.334167320405034     
          66           2           0  0.286385718596550     
          67           2           0  0.248852053105053     
          68           2           0  0.296517073378660     
          69           2           0  0.257149433928733     
          70           2           0 -6.742800135107323E-002
          71           2           0 -0.225327652708770     
          72           2           0   3.13607371275008     
          73           2           0   3.01017714808246     
          74           2           0   4.40348652918975     
          75           2           0   6.81951685607480     
          76           2           0   8.91593464336485     
          77           2           0   9.41271753026813     
          78           2           0   8.00848924647558     
          79           2           0   6.15637323226265     
          80           2           0   4.35372695647415     
          81           2           0   2.28686428421799     
          82           2           0  1.785012343174899E-002
          83           2           0  -2.23331719121230     
          84           2           0  -4.64558392069416     
          85           2           0  -7.00676183572959     
          86           2           0  -9.35499714979215     
          87           2           0  -12.3149715948523     
          88           2           0  -16.0159588537868     
          89           2           0  -20.3826061917779     
          90           2           0  -26.8561083847816     
          91           2           0  -34.8885768260428     
          92           2           0  -42.7260912220975     
          93           2           0  -52.4933211106844     
          94           2           0  -71.8303616440960     
          95           2           0  -69.6165932234939     
          96           2           0  -37.9380164670727     
          -1           3           0   37.3197624605098     
           0           3           0   65.2506224483444     
           1           3           0   74.4272255741707     
           2           3           0   63.6923000730187     
           3           3           0   53.7816256231648     
           4           3           0   46.3398733571393     
           5           3           0   39.8429887722569     
           6           3           0   33.6008075837409     
           7           3           0   28.6309116648260     
           8           3           0   23.3047828304578     
           9           3           0   17.9498492709160     
          10           3           0   14.3757990196948     
          11           3           0   11.6440487614265     
          12           3           0   9.10789414577850     
          13           3           0   7.22260943174428     
          14           3           0   5.85192507892123     
          15           3           0   3.29330652044904     
          16           3           0  0.428491688288336     
          17           3           0 -0.896564050748597     
          18           3           0  -1.33522958000021     
          19           3           0  -2.12727177635613     
          20           3           0  -2.61762395009374     
          21           3           0  -1.84309085092785     
          22           3           0 -0.556955028259408     
          23           3           0   1.88257356467094     
          24           3           0  0.249047023651121     
          25           3           0  0.452124842859688     
          26           3           0  0.346812639773756     
          27           3           0  1.463207437215410E-002
          28           3           0 -0.275491739158281     
          29           3           0 -0.417640454439604     
          30           3           0 -0.339081429072769     
          31           3           0 -0.311883050374085     
          32           3           0 -0.426399158912071     
          33           3           0 -0.377547670525718     
          34           3           0 -0.262324294692261     
          35           3           0 -0.219314245685385     
          36           3           0 -0.113741757077525     
          37           3           0 -6.466992184496537E-002
          38           3           0 -9.801350197150542E-002
          39           3           0 -6.469091608440787E-002
          40           3           0 -9.009810151835357E-002
          41           3           0 -0.124322499664887     
          42           3           0 -0.147212834053377     
          43           3           0 -0.184196044783193     
          44           3           0 -0.239017149662473     
          45           3           0 -0.300671717985568     
          46           3           0 -0.345444668749504     
          47           3           0 -0.343718577759781     
          48           3           0 -0.259613715649096     
          49           3           0 -0.159750764417142     
          50           3           0 -4.413535185391806E-002
          51           3           0  4.304190680115192E-002
          52           3           0  7.315587922675176E-002
          53           3           0  0.104950805009455     
          54           3           0  0.110516539993805     
          55           3           0  3.137090002383273E-002
          56           3           0 -6.347753598226541E-002
          57           3           0 -9.866925733285310E-002
          58           3           0 -0.133686742281665     
          59           3           0 -0.197123722104067     
          60           3           0 -0.100247002423420     
          61           3           0  0.120958156465529     
          62           3           0  0.350025769887393     
          63           3           0  0.482916743190260     
          64           3           0  0.564585838960957     
          65           3           0  0.657977242544184     
          66           3           0  0.638561629467407     
          67           3           0  0.568587654339391     
          68           3           0  0.511514258284139     
          69           3           0  0.543365846159856     
          70           3           0  0.387399426329707     
          71           3           0  2.040477515480870E-002
          72           3           0   3.35766361320323     
          73           3           0   4.01681441137539     
          74           3           0   5.92973614924724     
          75           3           0   8.38390791322772     
          76           3           0   9.64454813424680     
          77           3           0   9.28191333999584     
          78           3           0   7.75678131867104     
          79           3           0   5.84623874506273     
          80           3           0   3.96504241678729     
          81           3           0   1.86080278253087     
          82           3           0 -0.314895888428799     
          83           3           0  -2.59876417483289     
          84           3           0  -5.11174010541537     
          85           3           0  -7.56169598725322     
          86           3           0  -10.0705436720527     
          87           3           0  -12.9507445179168     
          88           3           0  -16.4893416890108     
          89           3           0  -20.6943211283161     
          90           3           0  -26.9020353646572     
          91           3           0  -35.2817609060038     
          92           3           0  -43.9512453141760     
          93           3           0  -54.7449624146166     
          94           3           0  -75.6984336638592     
          95           3           0  -72.5369551519005     
          96           3           0  -37.4576911420663     
          -1           4           0   38.9710226883557     
           0           4           0   69.8060370635491     
           1           4           0   79.8412315353503     
           2           4           0   67.7633884508549     
           3           4           0   56.9493187026871     
           4           4           0   49.3019468643917     
           5           4           0   42.4901205972827     
           6           4           0   35.8593797590782     
           7           4           0   30.0260068541592     
           8           4           0   23.8693362499232     
           9           4           0   18.7429652594182     
          10           4           0   15.1918733824951     
          11           4           0   11.7520604806743     
          12           4           0   8.39170014073627     
          13           4           0   6.03690526939674     
          14           4           0   4.09498164261174     
          15           4           0  0.974739505669314     
          16           4           0  -1.97141720219960     
          17           4           0  -3.75261808799033     
          18           4           0  -4.60811417365766     
          19           4           0  -3.47534515859767     
          20           4           0  -2.56987217741323     
          21           4           0  -2.90222521938100     
          22           4           0  -2.18953133667557     
          23           4           0  0.679638487259836     
          24           4           0  0.736405194061732     
          25           4           0  0.779079748826632     
          26           4           0  0.676813336585852     
          27           4           0  0.157498935343062     
          28           4           0 -0.308506279470634     
          29           4           0 -0.431130716170961     
          30           4           0 -0.415129778049969     
          31           4           0 -0.474574454738924     
          32           4           0 -0.582022793965250     
          33           4           0 -0.551552475711431     
          34           4           0 -0.458685759059503     
          35           4           0 -0.420545013024796     
          36           4           0 -0.361692786789637     
          37           4           0 -0.297970171753697     
          38           4           0 -0.299853352392396     
          39           4           0 -0.290687807235586     
          40           4           0 -0.325659642247557     
          41           4           0 -0.368210040233341     
          42           4           0 -0.404845536781076     
          43           4           0 -0.476044864407838     
          44           4           0 -0.521164676472577     
          45           4           0 -0.512054423171527     
          46           4           0 -0.544192208306217     
          47           4           0 -0.530925850842026     
          48           4           0 -0.385077371864896     
          49           4           0 -0.246212238966140     
          50           4           0 -0.110448565880614     
          51           4           0  3.911340565688032E-002
          52           4           0  0.123161126112401     
          53           4           0  0.120030030875708     
          54           4           0  0.118140723331966     
          55           4           0  8.855565064734924E-002
          56           4           0  6.243864120716446E-003
          57           4           0 -5.020206194664399E-002
          58           4           0 -8.591723945475166E-002
          59           4           0 -9.900487200873968E-002
          60           4           0  3.555392038182932E-002
          61           4           0  0.284181121153157     
          62           4           0  0.559149915111575     
          63           4           0  0.765060127268534     
          64           4           0  0.885394643266261     
          65           4           0  0.963739286677826     
          66           4           0  0.977305691479516     
          67           4           0  0.863034314601862     
          68           4           0  0.728699226612911     
          69           4           0  0.720839358312267     
          70           4           0  0.549452761632348     
          71           4           0  0.440761464635578     
          72           4           0   3.74258597256029     
          73           4           0   5.62777450069808     
          74           4           0   7.73679521892799     
          75           4           0   9.76035284693006     
          76           4           0   10.4034033977254     
          77           4           0   9.57788373562815     
          78           4           0   7.58003348471138     
          79           4           0   5.35532714020280     
          80           4           0   3.41838410082651     
          81           4           0   1.40161679389586     
          82           4           0 -0.758779349268811     
          83           4           0  -3.13804285820952     
          84           4           0  -5.74693961148408     
          85           4           0  -8.11862601404882     
          86           4           0  -10.5159284767198     
          87           4           0  -13.5266517788380     
          88           4           0  -17.0099250887638     
          89           4           0  -20.9472111076748     
          90           4           0  -26.7553714918825     
          91           4           0  -35.1770529038932     
          92           4           0  -44.0203931272004     
          93           4           0  -54.9750558576582     
          94           4           0  -77.6827287810705     
          95           4           0  -74.4341173990591     
          96           4           0  -36.4313858643712     
          -1           5           0   41.5937359341427     
           0           5           0   75.9978570539661     
           1           5           0   86.4722916769833     
           2           5           0   72.7484066209305     
           3           5           0   61.5386196657024     
           4           5           0   53.3885084156722     
           5           5           0   45.8818033087767     
           6           5           0   38.0093208456896     
           7           5           0   30.2573229301826     
           8           5           0   23.5760265908575     
           9           5           0   18.8589947052608     
          10           5           0   14.9578814718562     
          11           5           0   11.0059509783107     
          12           5           0   8.11304643529467     
          13           5           0   5.73775892239668     
          14           5           0   2.34205336825694     
          15           5           0  -1.30344780776082     
          16           5           0  -3.95435412503556     
          17           5           0  -5.40248602165057     
          18           5           0  -5.56588668676507     
          19           5           0  -6.56593064747462     
          20           5           0  -8.69748650962218     
          21           5           0  -7.21457360181453     
          22           5           0  -2.68861721293150     
          23           5           0   1.89552231797057     
          24           5           0   1.14347274064066     
          25           5           0   1.23111160651762     
          26           5           0  0.931122101469851     
          27           5           0  0.236795910802261     
          28           5           0 -0.381313633149269     
          29           5           0 -0.596249338357381     
          30           5           0 -0.625403252113502     
          31           5           0 -0.732638598112412     
          32           5           0 -0.811870933432642     
          33           5           0 -0.801263773927055     
          34           5           0 -0.693586150996170     
